,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,37070,40,technician,married,high.school,no,yes,jul,11,475,3,1,success,92.469,1.029,no
1,37071,26,admin.,single,university.degree,no,yes,jul,12,153,1,0,nonexistent,92.469,1.029,yes
2,37072,36,technician,married,professional.course,no,yes,jul,22,182,3,0,nonexistent,92.469,1.029,no
3,37073,32,admin.,single,university.degree,no,yes,jul,12,97,3,0,nonexistent,92.469,1.029,yes
4,37074,38,admin.,married,high.school,no,yes,jul,6,64,3,0,nonexistent,92.469,1.029,no
5,37075,29,student,single,high.school,no,yes,jul,13,253,2,0,nonexistent,92.469,1.018,yes
6,37076,33,technician,single,university.degree,no,yes,jul,4,359,2,0,nonexistent,92.469,1.018,no
7,37077,32,admin.,single,university.degree,no,yes,jul,5,315,4,0,nonexistent,92.469,1.018,no
8,37078,23,blue-collar,single,high.school,no,no,jul,29,104,2,0,nonexistent,92.469,1.007,yes
9,37079,32,admin.,single,university.degree,no,yes,jul,9,123,4,0,nonexistent,92.469,1.007,no
10,37080,23,technician,single,professional.course,no,yes,jul,27,336,4,0,nonexistent,92.469,1.007,yes
11,37081,29,technician,single,unknown,no,yes,jul,29,326,3,0,nonexistent,92.469,0.996,no
12,37082,51,management,divorced,university.degree,no,yes,jul,28,219,2,0,nonexistent,92.469,0.979,no
13,37083,26,admin.,single,university.degree,no,yes,jul,7,226,2,0,nonexistent,92.469,0.979,no
14,37084,51,management,divorced,university.degree,no,no,jul,30,166,7,1,failure,92.469,0.979,no
15,37085,45,admin.,married,university.degree,no,yes,jul,7,58,3,0,nonexistent,92.469,0.969,no
16,37086,27,management,single,university.degree,no,yes,jul,21,125,2,0,nonexistent,92.469,0.944,yes
17,37087,37,services,married,high.school,no,yes,jul,17,91,2,0,nonexistent,92.469,0.944,no
18,37088,27,technician,single,university.degree,no,yes,jul,24,258,3,0,nonexistent,92.469,0.944,no
19,37089,36,admin.,married,high.school,no,yes,jul,27,305,7,0,nonexistent,92.469,0.937,no
20,37090,53,management,married,unknown,no,yes,jul,16,465,6,0,nonexistent,92.469,0.937,no
21,37091,35,entrepreneur,married,high.school,no,no,jul,31,1084,4,0,nonexistent,92.469,0.933,yes
22,37092,33,admin.,divorced,university.degree,no,no,jul,14,106,3,0,nonexistent,92.469,0.927,no
23,37093,27,student,single,high.school,no,no,jul,29,64,3,0,nonexistent,92.469,0.927,no
24,37094,51,admin.,married,university.degree,no,yes,jul,16,139,5,0,nonexistent,92.469,0.921,yes
25,37095,51,admin.,married,university.degree,no,unknown,jul,23,116,3,0,nonexistent,92.469,0.921,no
26,37096,50,self-employed,married,unknown,no,unknown,jul,7,506,2,0,nonexistent,92.469,0.914,no
27,37097,38,admin.,single,university.degree,no,yes,jul,25,195,2,0,nonexistent,92.469,0.914,no
28,37098,38,admin.,single,university.degree,no,yes,jul,3,82,2,0,nonexistent,92.469,0.914,no
29,37099,26,technician,single,university.degree,no,yes,jul,23,105,2,0,nonexistent,92.469,0.908,no
30,37100,30,student,single,university.degree,no,no,jul,10,332,2,2,failure,92.469,0.908,yes
31,37101,44,admin.,divorced,high.school,no,no,jul,9,132,4,0,nonexistent,92.469,0.908,no
32,37102,23,student,single,basic.9y,no,no,jul,11,73,6,0,nonexistent,92.469,0.908,no
33,37103,54,admin.,married,university.degree,no,no,jul,23,822,6,1,success,92.469,0.908,yes
34,37104,34,admin.,married,university.degree,no,no,jul,2,51,4,1,failure,92.469,0.908,no
35,37105,26,admin.,single,university.degree,no,no,jul,4,148,4,0,nonexistent,92.469,0.908,no
36,37106,54,admin.,married,university.degree,no,yes,jul,3,72,2,1,failure,92.469,0.908,no
37,37107,26,technician,single,university.degree,no,no,jul,18,67,5,1,failure,92.469,0.908,no
